province_state,country_region,date,confirmed_state,deaths_state
Massachusetts,US,2020/4/24,50969,2556
Nevada,US,2020/4/24,4398,197
Arizona,US,2020/4/24,6045,266
District of Columbia,US,2020/4/24,3528,153
Connecticut,US,2020/4/24,23936,1767
Delaware,US,2020/4/24,3442,100
Arizona,US,2020/6/15,36844,1203
Massachusetts,US,2020/6/15,105690,7647
Vermont,US,2020/6/15,1128,55
Nevada,US,2020/6/15,11315,465
Maine,US,2020/6/15,2810,101
District of Columbia,US,2020/6/15,9799,515
Connecticut,US,2020/6/15,45235,4204
New Hampshire,US,2020/6/15,5345,320
Delaware,US,2020/6/15,10340,423
Utah,US,2020/6/15,14608,143
Arizona,US,2020/8/24,198414,4771
Connecticut,US,2020/8/24,52011,4460
Delaware,US,2020/8/24,16942,604
District of Columbia,US,2020/8/24,13639,604
Hawaii,US,2020/8/24,6769,49
Maine,US,2020/8/24,4357,131
Massachusetts,US,2020/8/24,126022,8949
Nevada,US,2020/8/24,66010,1200
New Hampshire,US,2020/8/24,7140,429
Utah,US,2020/8/24,49364,390
Vermont,US,2020/8/24,1566,58
Massachusetts,US,2020/5/6,72025,4420
Vermont,US,2020/5/6,908,52
Nevada,US,2020/5/6,5741,289
Arizona,US,2020/5/6,9707,426
District of Columbia,US,2020/5/6,5461,277
Connecticut,US,2020/5/6,30995,2718
New Hampshire,US,2020/5/6,2741,92
Delaware,US,2020/5/6,5778,193
Utah,US,2020/5/6,5595,58
Arizona,US,2020/12/23,473273,8179
Connecticut,US,2020/12/23,170705,5736
Delaware,US,2020/12/23,52235,872
District of Columbia,US,2020/12/23,27226,751
Hawaii,US,2020/12/23,20868,285
Maine,US,2020/12/23,20491,311
Massachusetts,US,2020/12/23,335988,11887
Nevada,US,2020/12/23,209962,2869
New Hampshire,US,2020/12/23,38512,677
Rhode Island,US,2020/12/23,82066,1704
Utah,US,2020/12/23,257697,1196
Vermont,US,2020/12/23,6680,117
Arizona,US,2020/7/25,160041,3286
Massachusetts,US,2020/7/25,115268,8510
Vermont,US,2020/7/25,1396,56
Nevada,US,2020/7/25,41816,732
Maine,US,2020/7/25,3790,119
District of Columbia,US,2020/7/25,11717,581
Connecticut,US,2020/7/25,48776,4413
New Hampshire,US,2020/7/25,6415,409
Delaware,US,2020/7/25,14175,579
Utah,US,2020/7/25,37623,274
Arizona,US,2020/11/19,287225,6384
Connecticut,US,2020/11/19,99381,4805
Delaware,US,2020/11/19,30153,742
District of Columbia,US,2020/11/19,19678,667
Hawaii,US,2020/11/19,17081,223
Maine,US,2020/11/19,9734,171
Massachusetts,US,2020/11/19,198550,10435
Nevada,US,2020/11/19,127876,1953
New Hampshire,US,2020/11/19,16295,506
Rhode Island,US,2020/11/19,46951,1288
Utah,US,2020/11/19,165996,756
Vermont,US,2020/11/19,3310,61
Arizona,US,2020/7/7,105094,1927
Massachusetts,US,2020/7/7,110338,8213
Vermont,US,2020/7/7,1254,56
Nevada,US,2020/7/7,23785,548
Maine,US,2020/7/7,3440,110
District of Columbia,US,2020/7/7,10569,561
Connecticut,US,2020/7/7,47033,4338
New Hampshire,US,2020/7/7,5932,384
Delaware,US,2020/7/7,12414,514
Utah,US,2020/7/7,26033,194
Arizona,US,2021/1/19,685699,11266
Connecticut,US,2021/1/19,232219,6682
Delaware,US,2021/1/19,71311,1021
District of Columbia,US,2021/1/19,34259,861
Hawaii,US,2021/1/19,24769,323
Maine,US,2021/1/19,34262,519
Massachusetts,US,2021/1/19,476526,13749
Nevada,US,2021/1/19,263972,3792
New Hampshire,US,2021/1/19,58709,938
Rhode Island,US,2021/1/19,107066,2045
Utah,US,2021/1/19,326221,1507
Vermont,US,2021/1/19,10321,163
Arizona,US,2021/2/13,795323,14948
Connecticut,US,2021/2/13,267337,7381
Delaware,US,2021/2/13,82672,1282
District of Columbia,US,2021/2/13,38796,979
Hawaii,US,2021/2/13,27015,424
Maine,US,2021/2/13,42425,647
Massachusetts,US,2021/2/13,555895,15424
Nevada,US,2021/2/13,287836,4694
New Hampshire,US,2021/2/13,70505,1130
Rhode Island,US,2021/2/13,120821,2290
Utah,US,2021/2/13,360584,1790
Vermont,US,2021/2/13,13561,189
Arizona,US,2020/11/6,254764,6109
Connecticut,US,2020/11/6,78125,4671
Delaware,US,2020/11/6,26035,716
District of Columbia,US,2020/11/6,17792,652
Hawaii,US,2020/11/6,15691,219
Maine,US,2020/11/6,7444,150
Massachusetts,US,2020/11/6,167274,10106
Nevada,US,2020/11/6,106922,1845
New Hampshire,US,2020/11/6,12012,488
Rhode Island,US,2020/11/6,36380,1224
Utah,US,2020/11/6,127279,649
Vermont,US,2020/11/6,2326,58
Arizona,US,2021/1/10,618546,10141
Connecticut,US,2021/1/10,205994,6324
Delaware,US,2021/1/10,65273,972
District of Columbia,US,2021/1/10,31791,817
Hawaii,US,2021/1/10,23586,308
Maine,US,2021/1/10,29298,432
Massachusetts,US,2021/1/10,432791,13151
Nevada,US,2021/1/10,248569,3467
New Hampshire,US,2021/1/10,51600,869
Rhode Island,US,2021/1/10,97614,1916
Utah,US,2021/1/10,305999,1392
Vermont,US,2021/1/10,8967,156
Arizona,US,2020/12/13,408442,7357
Connecticut,US,2020/12/13,146761,5363
Delaware,US,2020/12/13,45460,816
District of Columbia,US,2020/12/13,24874,715
Hawaii,US,2020/12/13,19588,274
Maine,US,2020/12/13,15923,257
Massachusetts,US,2020/12/13,290578,11349
Nevada,US,2020/12/13,186833,2539
New Hampshire,US,2020/12/13,30956,603
Rhode Island,US,2020/12/13,70818,1509
Utah,US,2020/12/13,233904,1055
Vermont,US,2020/12/13,5753,95
Arizona,US,2020/11/24,306868,6515
Connecticut,US,2020/11/24,107280,4881
Delaware,US,2020/11/24,32664,757
District of Columbia,US,2020/11/24,20409,673
Hawaii,US,2020/11/24,17656,233
Maine,US,2020/11/24,10799,189
Massachusetts,US,2020/11/24,211199,10551
Nevada,US,2020/11/24,139098,2047
New Hampshire,US,2020/11/24,18444,513
Rhode Island,US,2020/11/24,51424,1325
Utah,US,2020/11/24,182121,808
Vermont,US,2020/11/24,3762,64
Arizona,US,2021/1/5,567474,9317
Connecticut,US,2021/1/5,196968,6192
Delaware,US,2021/1/5,61100,947
District of Columbia,US,2021/1/5,30166,801
Hawaii,US,2021/1/5,22485,289
Maine,US,2021/1/5,26565,369
Massachusetts,US,2021/1/5,397202,12734
Nevada,US,2021/1/5,235455,3235
New Hampshire,US,2021/1/5,47992,792
Rhode Island,US,2021/1/5,93852,1870
Utah,US,2021/1/5,288951,1312
Vermont,US,2021/1/5,8038,149
Arizona,US,2020/8/14,191721,4423
Connecticut,US,2020/8/14,50897,4453
Delaware,US,2020/8/14,16340,593
District of Columbia,US,2020/8/14,13118,594
Hawaii,US,2020/8/14,4543,40
Maine,US,2020/8/14,4116,126
Massachusetts,US,2020/8/14,122728,8810
Nevada,US,2020/8/14,59749,1045
New Hampshire,US,2020/8/14,6964,423
Utah,US,2020/8/14,45976,360
Vermont,US,2020/8/14,1501,58
Arizona,US,2021/2/12,793532,14834
Connecticut,US,2021/2/12,267337,7381
Delaware,US,2021/2/12,82263,1269
District of Columbia,US,2021/2/12,38670,976
Hawaii,US,2021/2/12,26958,424
Maine,US,2021/2/12,42265,643
Massachusetts,US,2021/2/12,553812,15358
Nevada,US,2021/2/12,287023,4663
New Hampshire,US,2021/2/12,70072,1126
Rhode Island,US,2021/2/12,120821,2290
Utah,US,2021/2/12,359641,1785
Vermont,US,2021/2/12,13415,189
Arizona,US,2020/9/29,218184,5632
Connecticut,US,2020/9/29,57329,4505
Delaware,US,2020/9/29,20531,635
District of Columbia,US,2020/9/29,15300,626
Hawaii,US,2020/9/29,12290,134
Maine,US,2020/9/29,5337,141
Massachusetts,US,2020/9/29,131584,9423
Nevada,US,2020/9/29,79595,1593
New Hampshire,US,2020/9/29,8233,439
Utah,US,2020/9/29,72136,457
Vermont,US,2020/9/29,1749,58
Massachusetts,US,2020/4/14,28164,844
Nevada,US,2020/4/14,3134,126
District of Columbia,US,2020/4/14,2058,67
Connecticut,US,2020/4/14,13989,671
Arizona,US,2020/4/14,3809,131
Arizona,US,2021/1/4,561542,9064
Connecticut,US,2021/1/4,194636,6168
Delaware,US,2021/1/4,60333,937
District of Columbia,US,2021/1/4,29904,797
Hawaii,US,2021/1/4,22378,289
Maine,US,2021/1/4,25967,361
Massachusetts,US,2021/1/4,392568,12671
Nevada,US,2021/1/4,233032,3206
New Hampshire,US,2021/1/4,47328,781
Rhode Island,US,2021/1/4,92708,1855
Utah,US,2021/1/4,285633,1305
Vermont,US,2021/1/4,7873,144
Arizona,US,2021/1/11,627541,10147
Connecticut,US,2021/1/11,213358,6416
Delaware,US,2021/1/11,65827,986
District of Columbia,US,2021/1/11,31993,821
Hawaii,US,2021/1/11,23748,308
Maine,US,2021/1/11,29611,438
Massachusetts,US,2021/1/11,437042,13206
Nevada,US,2021/1/11,250249,3500
New Hampshire,US,2021/1/11,52307,869
Rhode Island,US,2021/1/11,100607,1947
Utah,US,2021/1/11,307483,1396
Vermont,US,2021/1/11,9078,156
Arizona,US,2020/9/13,208512,5322
Connecticut,US,2020/9/13,54326,4480
Delaware,US,2020/9/13,18849,615
District of Columbia,US,2020/9/13,14592,616
Hawaii,US,2020/9/13,10700,99
Maine,US,2020/9/13,4863,136
Massachusetts,US,2020/9/13,124826,9210
Nevada,US,2020/9/13,73537,1452
New Hampshire,US,2020/9/13,7696,436
Utah,US,2020/9/13,57875,433
Vermont,US,2020/9/13,1684,58
Arizona,US,2020/5/29,18472,886
Massachusetts,US,2020/5/29,95512,6718
Vermont,US,2020/5/29,975,55
Nevada,US,2020/5/29,8376,406
Maine,US,2020/5/29,2226,85
District of Columbia,US,2020/5/29,8538,460
Connecticut,US,2020/5/29,41762,3868
New Hampshire,US,2020/5/29,4492,238
Delaware,US,2020/5/29,9236,356
Utah,US,2020/5/29,9264,107
Massachusetts,US,2020/5/16,84933,5705
Vermont,US,2020/5/16,934,53
Nevada,US,2020/5/16,6813,347
Arizona,US,2020/5/16,13666,679
Maine,US,2020/5/16,1648,70
District of Columbia,US,2020/5/16,7042,375
Connecticut,US,2020/5/16,36703,3339
New Hampshire,US,2020/5/16,3556,171
Delaware,US,2020/5/16,7547,286
Utah,US,2020/5/16,7068,78
Arizona,US,2020/10/4,220754,5706
Connecticut,US,2020/10/4,58297,4513
Delaware,US,2020/10/4,21243,645
District of Columbia,US,2020/10/4,15519,631
Hawaii,US,2020/10/4,12804,156
Maine,US,2020/10/4,5519,142
Massachusetts,US,2020/10/4,134947,9510
Nevada,US,2020/10/4,82100,1623
New Hampshire,US,2020/10/4,8645,443
Utah,US,2020/10/4,77618,478
Vermont,US,2020/10/4,1785,58
Arizona,US,2020/11/21,295334,6457
Connecticut,US,2020/11/21,101469,4828
Delaware,US,2020/11/21,31321,746
District of Columbia,US,2020/11/21,19961,670
Hawaii,US,2020/11/21,17361,231
Maine,US,2020/11/21,10123,174
Massachusetts,US,2020/11/21,204155,10488
Nevada,US,2020/11/21,131733,2011
New Hampshire,US,2020/11/21,17315,508
Rhode Island,US,2020/11/21,48001,1294
Utah,US,2020/11/21,173979,787
Vermont,US,2020/11/21,3546,63
Arizona,US,2020/9/16,209907,5371
Connecticut,US,2020/9/16,55166,4487
Delaware,US,2020/9/16,19234,619
District of Columbia,US,2020/9/16,14743,617
Hawaii,US,2020/9/16,10946,103
Maine,US,2020/9/16,4941,138
Massachusetts,US,2020/9/16,125699,9245
Nevada,US,2020/9/16,74248,1494
New Hampshire,US,2020/9/16,7781,438
Utah,US,2020/9/16,59747,437
Vermont,US,2020/9/16,1702,58
Arizona,US,2021/2/6,779093,14011
Connecticut,US,2021/2/6,259372,7214
Delaware,US,2021/2/6,79832,1202
District of Columbia,US,2021/2/6,37877,947
Hawaii,US,2021/2/6,26611,415
Maine,US,2021/2/6,41065,634
Massachusetts,US,2021/2/6,540827,14921
Nevada,US,2021/2/6,283391,4496
New Hampshire,US,2021/2/6,68061,1098
Rhode Island,US,2021/2/6,117891,2212
Utah,US,2021/2/6,353700,1733
Vermont,US,2021/2/6,12766,182
Massachusetts,US,2020/4/27,56462,3003
Vermont,US,2020/4/27,855,47
Nevada,US,2020/4/27,4700,206
Arizona,US,2020/4/27,6725,275
District of Columbia,US,2020/4/27,3892,185
Connecticut,US,2020/4/27,25997,2012
Delaware,US,2020/4/27,4162,125
Arizona,US,2020/7/22,150609,2974
Massachusetts,US,2020/7/22,114320,8468
Vermont,US,2020/7/22,1366,56
Nevada,US,2020/7/22,38657,704
Maine,US,2020/7/22,3722,118
District of Columbia,US,2020/7/22,11529,580
Connecticut,US,2020/7/22,48223,4406
New Hampshire,US,2020/7/22,6295,402
Delaware,US,2020/7/22,13792,527
Utah,US,2020/7/22,35578,260
Arizona,US,2020/8/11,188737,4199
Connecticut,US,2020/8/11,50684,4444
Delaware,US,2020/8/11,15699,591
District of Columbia,US,2020/8/11,12896,593
Maine,US,2020/8/11,4052,126
Massachusetts,US,2020/8/11,121707,8751
Nevada,US,2020/8/11,57520,981
New Hampshire,US,2020/8/11,6861,419
Utah,US,2020/8/11,44752,349
Vermont,US,2020/8/11,1472,58
Arizona,US,2020/11/9,259699,6164
Connecticut,US,2020/11/9,81432,4698
Delaware,US,2020/11/9,26908,719
District of Columbia,US,2020/11/9,18087,655
Hawaii,US,2020/11/9,16010,221
Maine,US,2020/11/9,7888,153
Massachusetts,US,2020/11/9,172727,10163
Nevada,US,2020/11/9,110982,1852
New Hampshire,US,2020/11/9,12699,489
Rhode Island,US,2020/11/9,38009,1233
Utah,US,2020/11/9,134868,661
Vermont,US,2020/11/9,2415,59
Arizona,US,2020/6/5,24439,1015
Massachusetts,US,2020/6/5,102557,7235
Vermont,US,2020/6/5,1027,55
Nevada,US,2020/6/5,9309,436
Maine,US,2020/6/5,2482,98
District of Columbia,US,2020/6/5,9199,479
Connecticut,US,2020/6/5,43460,4038
New Hampshire,US,2020/6/5,4953,278
Delaware,US,2020/6/5,9773,388
Utah,US,2020/6/5,11252,120
Arizona,US,2021/1/26,732643,12448
Connecticut,US,2021/1/26,244899,6934
Delaware,US,2021/1/26,75490,1065
District of Columbia,US,2021/1/26,35700,888
Hawaii,US,2021/1/26,25558,400
Maine,US,2021/1/26,37710,558
Massachusetts,US,2021/1/26,506183,14220
Nevada,US,2021/1/26,272853,4088
New Hampshire,US,2021/1/26,63172,994
Rhode Island,US,2021/1/26,112396,2126
Utah,US,2021/1/26,338675,1613
Vermont,US,2021/1/26,11285,171
Arizona,US,2020/12/10,387529,7154
Connecticut,US,2020/12/10,142979,5327
Delaware,US,2020/12/10,43036,806
District of Columbia,US,2020/12/10,24098,708
Hawaii,US,2020/12/10,19179,268
Maine,US,2020/12/10,14861,246
Massachusetts,US,2020/12/10,274781,11209
Nevada,US,2020/12/10,178527,2434
New Hampshire,US,2020/12/10,28273,584
Rhode Island,US,2020/12/10,69247,1498
Utah,US,2020/12/10,225946,1016
Vermont,US,2020/12/10,5413,89
Rhode Island,US,2020/12/19,77812,1625
Utah,US,2020/12/19,248970,1148
Vermont,US,2020/12/19,6343,108
Massachusetts,US,2020/5/1,64311,3716
Vermont,US,2020/5/1,879,50
Nevada,US,2020/5/1,5248,246
Arizona,US,2020/5/1,7969,330
District of Columbia,US,2020/5/1,4658,231
Connecticut,US,2020/5/1,28764,2339
New Hampshire,US,2020/5/1,2310,81
Delaware,US,2020/5/1,4918,159
Arizona,US,2020/8/7,185053,4081
Massachusetts,US,2020/8/7,120291,8709
Vermont,US,2020/8/7,1448,58
Nevada,US,2020/8/7,54533,920
Maine,US,2020/8/7,4016,124
District of Columbia,US,2020/8/7,12589,589
Connecticut,US,2020/8/7,50320,4441
New Hampshire,US,2020/8/7,6779,419
Delaware,US,2020/8/7,15445,588
Utah,US,2020/8/7,43375,335
Arizona,US,2020/7/14,128097,2337
Massachusetts,US,2020/7/14,112130,8340
Vermont,US,2020/7/14,1305,56
Nevada,US,2020/7/14,29619,612
Maine,US,2020/7/14,3566,114
District of Columbia,US,2020/7/14,10946,568
Connecticut,US,2020/7/14,47530,4372
New Hampshire,US,2020/7/14,6091,392
Delaware,US,2020/7/14,12969,518
Utah,US,2020/7/14,30478,226
Arizona,US,2020/12/31,520207,8864
Connecticut,US,2020/12/31,185708,5995
Delaware,US,2020/12/31,57456,926
District of Columbia,US,2020/12/31,28983,786
Hawaii,US,2020/12/31,21745,288
Maine,US,2020/12/31,24201,347
Massachusetts,US,2020/12/31,375178,12423
Nevada,US,2020/12/31,224731,3122
New Hampshire,US,2020/12/31,44028,759
Rhode Island,US,2020/12/31,87949,1777
Utah,US,2020/12/31,276612,1269
Vermont,US,2020/12/31,7412,136
Arizona,US,2020/10/6,221934,5713
Connecticut,US,2020/10/6,59241,4521
Delaware,US,2020/10/6,21466,646
District of Columbia,US,2020/10/6,15652,631
Hawaii,US,2020/10/6,12937,160
Maine,US,2020/10/6,5565,142
Massachusetts,US,2020/10/6,135957,9538
Nevada,US,2020/10/6,82916,1629
New Hampshire,US,2020/10/6,8731,446
Utah,US,2020/10/6,79439,488
Vermont,US,2020/10/6,1821,58
Arizona,US,2021/2/9,787268,14286
Connecticut,US,2021/2/9,264608,7298
Delaware,US,2021/2/9,81210,1221
District of Columbia,US,2021/2/9,38281,961
Hawaii,US,2021/2/9,26742,417
Maine,US,2021/2/9,41636,639
Massachusetts,US,2021/2/9,546896,15124
Nevada,US,2021/2/9,285136,4559
New Hampshire,US,2021/2/9,68918,1109
Rhode Island,US,2021/2/9,119434,2248
Utah,US,2021/2/9,356040,1748
Vermont,US,2021/2/9,13105,186
Arizona,US,2020/9/14,208725,5322
Connecticut,US,2020/9/14,54895,4485
Delaware,US,2020/9/14,18937,617
District of Columbia,US,2020/9/14,14622,616
Hawaii,US,2020/9/14,10779,99
Maine,US,2020/9/14,4904,136
Massachusetts,US,2020/9/14,125080,9219
Nevada,US,2020/9/14,73814,1456
New Hampshire,US,2020/9/14,7714,436
Utah,US,2020/9/14,58438,436
Vermont,US,2020/9/14,1696,58
Massachusetts,US,2020/5/14,82182,5482
Vermont,US,2020/5/14,932,53
Nevada,US,2020/5/14,6504,333
Arizona,US,2020/5/14,12674,624
Maine,US,2020/5/14,1565,69
District of Columbia,US,2020/5/14,6736,358
Connecticut,US,2020/5/14,35464,3219
New Hampshire,US,2020/5/14,3382,151
Delaware,US,2020/5/14,7223,260
Utah,US,2020/5/14,6749,75
Arizona,US,2020/12/6,364276,6950
Connecticut,US,2020/12/6,127715,5146
Delaware,US,2020/12/6,39912,793
District of Columbia,US,2020/12/6,23136,697
Hawaii,US,2020/12/6,18842,262
Maine,US,2020/12/6,13348,227
Massachusetts,US,2020/12/6,256844,11004
Nevada,US,2020/12/6,168140,2315
New Hampshire,US,2020/12/6,24888,564
Rhode Island,US,2020/12/6,62137,1413
Utah,US,2020/12/6,215407,939
Vermont,US,2020/12/6,5015,79
Arizona,US,2021/2/4,771796,13752
Connecticut,US,2021/2/4,257941,7185
Delaware,US,2021/2/4,79225,1135
District of Columbia,US,2021/2/4,37365,932
Hawaii,US,2021/2/4,26387,415
Maine,US,2021/2/4,40534,630
Massachusetts,US,2021/2/4,533921,14784
Nevada,US,2021/2/4,281596,4424
New Hampshire,US,2021/2/4,67117,1085
Rhode Island,US,2021/2/4,117291,2209
Utah,US,2021/2/4,351273,1711
Vermont,US,2021/2/4,12503,181
Arizona,US,2020/12/28,504423,8469
Connecticut,US,2020/12/28,181200,5904
Delaware,US,2020/12/28,55488,898
District of Columbia,US,2020/12/28,28342,771
Hawaii,US,2020/12/28,21395,285
Maine,US,2020/12/28,22319,326
Massachusetts,US,2020/12/28,356934,12158
Nevada,US,2020/12/28,218377,2971
New Hampshire,US,2020/12/28,41670,715
Rhode Island,US,2020/12/28,85602,1742
Utah,US,2020/12/28,266590,1219
Vermont,US,2020/12/28,7120,129
Arizona,US,2020/10/28,241165,5905
Connecticut,US,2020/10/28,69127,4604
Delaware,US,2020/10/28,24392,688
District of Columbia,US,2020/10/28,16973,644
Hawaii,US,2020/10/28,14834,213
Maine,US,2020/10/28,6386,146
Massachusetts,US,2020/10/28,154218,9924
Nevada,US,2020/10/28,97479,1762
New Hampshire,US,2020/10/28,10641,478
Rhode Island,US,2020/10/28,31944,1192
Utah,US,2020/10/28,108803,588
Vermont,US,2020/10/28,2120,58
Arizona,US,2020/6/22,54599,1351
Massachusetts,US,2020/6/22,107210,7873
Vermont,US,2020/6/22,1163,56
Nevada,US,2020/6/22,13528,489
Maine,US,2020/6/22,2971,102
District of Columbia,US,2020/6/22,10058,535
Connecticut,US,2020/6/22,45782,4263
New Hampshire,US,2020/6/22,5558,339
Delaware,US,2020/6/22,10820,435
Utah,US,2020/6/22,17906,158
Arizona,US,2020/8/22,197895,4756
Connecticut,US,2020/8/22,51519,4460
Delaware,US,2020/8/22,16828,600
District of Columbia,US,2020/8/22,13534,604
Hawaii,US,2020/8/22,6356,47
Maine,US,2020/8/22,4318,130
Massachusetts,US,2020/8/22,125360,8921
Nevada,US,2020/8/22,65069,1197
New Hampshire,US,2020/8/22,7094,429
Utah,US,2020/8/22,48814,385
Vermont,US,2020/8/22,1553,58
Arizona,US,2021/1/2,539150,9061
Connecticut,US,2021/1/2,190120,6099
Delaware,US,2021/1/2,58873,930
District of Columbia,US,2021/1/2,29509,792
Hawaii,US,2021/1/2,22181,289
Maine,US,2021/1/2,25245,358
Massachusetts,US,2021/1/2,384181,12502
Nevada,US,2021/1/2,228871,3148
New Hampshire,US,2021/1/2,45206,769
Rhode Island,US,2021/1/2,87949,1777
Utah,US,2021/1/2,281654,1294
Vermont,US,2021/1/2,7689,139
Arizona,US,2021/2/19,804116,15421
Connecticut,US,2021/2/19,273101,7523
Delaware,US,2021/2/19,84181,1343
District of Columbia,US,2021/2/19,39461,993
Hawaii,US,2021/2/19,27248,429
Maine,US,2021/2/19,43229,656
Massachusetts,US,2021/2/19,565794,15726
Nevada,US,2021/2/19,290300,4831
New Hampshire,US,2021/2/19,72767,1152
Rhode Island,US,2021/2/19,123145,2376
Utah,US,2021/2/19,365256,1834
Vermont,US,2021/2/19,14251,193
Arizona,US,2020/12/15,424382,7422
Connecticut,US,2020/12/15,155462,5466
Delaware,US,2020/12/15,47142,826
District of Columbia,US,2020/12/15,25339,720
Hawaii,US,2020/12/15,19827,274
Maine,US,2020/12/15,16760,265
Massachusetts,US,2020/12/15,298160,11443
Nevada,US,2020/12/15,191732,2595
New Hampshire,US,2020/12/15,32545,604
Rhode Island,US,2020/12/15,75237,1570
Utah,US,2020/12/15,237787,1077
Vermont,US,2020/12/15,5923,100
Arizona,US,2021/2/10,789245,14462
Connecticut,US,2021/2/10,265496,7326
Delaware,US,2021/2/10,81461,1245
District of Columbia,US,2021/2/10,38348,965
Hawaii,US,2021/2/10,26793,422
Maine,US,2021/2/10,41889,641
Massachusetts,US,2021/2/10,548946,15207
Nevada,US,2021/2/10,285795,4582
New Hampshire,US,2021/2/10,69247,1116
Rhode Island,US,2021/2/10,119893,2259
Utah,US,2021/2/10,357339,1765
Vermont,US,2021/2/10,13122,187
Arizona,US,2020/11/10,263133,6192
Connecticut,US,2020/11/10,82953,4707
Delaware,US,2020/11/10,27112,722
District of Columbia,US,2020/11/10,18173,657
Hawaii,US,2020/11/10,16320,222
Maine,US,2020/11/10,8060,156
Massachusetts,US,2020/11/10,174881,10184
Nevada,US,2020/11/10,112304,1859
New Hampshire,US,2020/11/10,12919,489
Rhode Island,US,2020/11/10,38798,1237
Utah,US,2020/11/10,137385,672
Vermont,US,2020/11/10,2462,59
Arizona,US,2020/10/15,228748,5789
Connecticut,US,2020/10/15,62028,4540
Delaware,US,2020/10/15,22560,661
District of Columbia,US,2020/10/15,16166,638
Hawaii,US,2020/10/15,13764,184
Maine,US,2020/10/15,5834,144
Massachusetts,US,2020/10/15,141579,9672
Nevada,US,2020/10/15,87969,1698
New Hampshire,US,2020/10/15,9426,463
Rhode Island,US,2020/10/15,27438,1149
Utah,US,2020/10/15,90461,529
Vermont,US,2020/10/15,1903,58
Massachusetts,US,2020/4/22,42944,2182
Nevada,US,2020/4/22,4081,172
Arizona,US,2020/4/22,5473,231
District of Columbia,US,2020/4/22,3206,127
Connecticut,US,2020/4/22,22469,1544
Delaware,US,2020/4/22,3200,89
Arizona,US,2020/10/11,225575,5759
Connecticut,US,2020/10/11,60038,4530
Delaware,US,2020/10/11,22130,654
District of Columbia,US,2020/10/11,15984,637
Hawaii,US,2020/10/11,13472,169
Maine,US,2020/10/11,5720,143
Massachusetts,US,2020/10/11,138903,9604
Nevada,US,2020/10/11,85779,1661
New Hampshire,US,2020/10/11,9143,456
Utah,US,2020/10/11,85844,517
Vermont,US,2020/10/11,1868,58
Massachusetts,US,2020/5/3,68087,4004
Vermont,US,2020/5/3,897,53
Nevada,US,2020/5/3,5472,258
Arizona,US,2020/5/3,8640,362
District of Columbia,US,2020/5/3,5016,251
Connecticut,US,2020/5/3,29287,2436
New Hampshire,US,2020/5/3,2518,86
Delaware,US,2020/5/3,5208,177
Utah,US,2020/5/3,5175,50
Arizona,US,2021/2/8,782887,14055
Connecticut,US,2021/2/8,263739,7282
Delaware,US,2021/2/8,80931,1208
District of Columbia,US,2021/2/8,38136,956
Hawaii,US,2021/2/8,26714,417
Maine,US,2021/2/8,41419,636
Massachusetts,US,2021/2/8,545303,15054
Nevada,US,2021/2/8,284590,4522
New Hampshire,US,2021/2/8,68499,1106
Rhode Island,US,2021/2/8,119104,2236
Utah,US,2021/2/8,355122,1738
Vermont,US,2021/2/8,13046,183
Arizona,US,2020/11/26,314324,6568
Connecticut,US,2020/11/26,109152,4926
Delaware,US,2020/11/26,33579,761
District of Columbia,US,2020/11/26,20736,677
Hawaii,US,2020/11/26,17881,237
Maine,US,2020/11/26,11265,190
Massachusetts,US,2020/11/26,214594,10604
Nevada,US,2020/11/26,144781,2093
New Hampshire,US,2020/11/26,18846,514
Rhode Island,US,2020/11/26,52317,1335
Utah,US,2020/11/26,183902,834
Vermont,US,2020/11/26,3827,64
Arizona,US,2020/12/26,493041,8424
Connecticut,US,2020/12/26,172743,5791
Delaware,US,2020/12/26,54473,895
District of Columbia,US,2020/12/26,27710,762
Hawaii,US,2020/12/26,21256,285
Maine,US,2020/12/26,21547,319
Massachusetts,US,2020/12/26,349602,12010
Nevada,US,2020/12/26,215653,2942
New Hampshire,US,2020/12/26,39933,701
Rhode Island,US,2020/12/26,82066,1704
Utah,US,2020/12/26,264078,1212
Vermont,US,2020/12/26,6966,121
Arizona,US,2020/11/11,265163,6228
Connecticut,US,2020/11/11,84741,4716
Delaware,US,2020/11/11,27342,724
District of Columbia,US,2020/11/11,18379,657
Hawaii,US,2020/11/11,16437,222
Maine,US,2020/11/11,8202,158
Massachusetts,US,2020/11/11,177541,10222
Nevada,US,2020/11/11,113411,1877
New Hampshire,US,2020/11/11,13152,492
Rhode Island,US,2020/11/11,39776,1243
Utah,US,2020/11/11,139720,678
Vermont,US,2020/11/11,2535,59
Arizona,US,2020/9/21,214251,5478
Connecticut,US,2020/9/21,56024,4495
Delaware,US,2020/9/21,19667,627
District of Columbia,US,2020/9/21,14978,621
Hawaii,US,2020/9/21,11459,120
Maine,US,2020/9/21,5106,140
Massachusetts,US,2020/9/21,127796,9317
Nevada,US,2020/9/21,76036,1531
New Hampshire,US,2020/9/21,7952,438
Utah,US,2020/9/21,64394,441
Vermont,US,2020/9/21,1719,58
Arizona,US,2020/9/3,203953,5130
Connecticut,US,2020/9/3,53209,4468
Delaware,US,2020/9/3,17653,606
District of Columbia,US,2020/9/3,14135,609
Hawaii,US,2020/9/3,9202,79
Maine,US,2020/9/3,4618,133
Massachusetts,US,2020/9/3,121546,9077
